protein_group,sequence_count
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,1
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,3
sp|A6NHL2|TBAL3_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN,1
sp|A6NHN0|OTOL1_HUMAN,1
sp|A6NHQ2|FBLL1_HUMAN,3
sp|A6NHQ2|FBLL1_HUMAN;sp|P22087|FBRL_HUMAN,1
sp|A6NHR9|SMHD1_HUMAN,12
sp|A6NHS7|MANS4_HUMAN,1
sp|A6NHX0|CAST2_HUMAN,1
sp|A6NHZ5|LR14B_HUMAN,1
sp|A6NI56|CC154_HUMAN,2
sp|A6NI72|NCF1B_HUMAN;sp|A8MVU1|NCF1C_HUMAN;sp|P14598|NCF1_HUMAN,7
sp|A6NI72|NCF1B_HUMAN;sp|P14598|NCF1_HUMAN,1
sp|A6NIE9|PRS29_HUMAN;sp|P05981|HEPS_HUMAN;sp|P20231|TRYB2_HUMAN;sp|Q15661|TRYB1_HUMAN;sp|Q9BZJ3|TRYD_HUMAN,1
sp|A6NIH7|U119B_HUMAN,2
sp|A6NIK2|LR10B_HUMAN,1
sp|A6NIZ1|RP1BL_HUMAN;sp|O95716|RAB3D_HUMAN;sp|P61224|RAP1B_HUMAN;sp|P62834|RAP1A_HUMAN,1
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN,4
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN;sp|P62834|RAP1A_HUMAN,4
sp|A6NJ64|NPIB2_HUMAN;sp|A6NJU9|NPB13_HUMAN;sp|A8MRT5|NPIB5_HUMAN;sp|C9JG80|NPIB4_HUMAN;sp|E5RHQ5|NPB11_HUMAN;sp|F8W0I5|NPB12_HUMAN;sp|Q92617|NPIB3_HUMAN,1
sp|A6NJ69|IGIP_HUMAN,1
sp|A6NJB7|PRR19_HUMAN,2
sp|A6NKB5|PCX2_HUMAN,1
sp|A6NKD9|CC85C_HUMAN,3
sp|A6NKH3|RL37L_HUMAN;sp|P61513|RL37A_HUMAN,1
sp|A6NKQ9|CGB1_HUMAN;sp|P0DN86|CGB3_HUMAN;sp|P0DN87|CGB7_HUMAN;sp|Q6NT52|CGB2_HUMAN,1
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN;sp|Q99666|RGPD5_HUMAN,2
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q99666|RGPD5_HUMAN,1
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN;sp|Q99666|RGPD5_HUMAN,3
sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,4
sp|A6NKT7|RGPD3_HUMAN;sp|P49792|RBP2_HUMAN,1
sp|A6NKT7|RGPD3_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,1
sp|A6NKT7|RGPD3_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,1
sp|A6NKX4|S22AV_HUMAN,1
sp|A6NL88|SHSA7_HUMAN,1
sp|A6NLP5|TTC36_HUMAN,4
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,25
sp|A6NMZ7|CO6A6_HUMAN,11
sp|A6NNY8|UBP27_HUMAN;sp|Q9UPT9|UBP22_HUMAN,1
sp|A6NNZ2|TBB8B_HUMAN,2
